1, Finished Airing, Bandai-Visual, Sunrise, Original, Action, Adventure, Comedy, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 26, 8.81
5, Finished Airing, Sunrise, Bones, Original, Action, Space, Drama, 1-hr.-54-min., R---17+-(violence-&amp;-profanity), 1, 8.41
6, Finished Airing, Victor-Entertainment, Madhouse-Inc., Manga, Action, Sci-Fi, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 8.31
7, Finished Airing, Bandai-Visual, Sunrise, Original, Action, Magic, Police, 25-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.34
15, Finished Airing, TV-Tokyo, Estudio-nao-listado, Manga, Action, Sports, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 145, 8.05
16, Finished Airing, Genco, J.C.-Staff, Manga, Comedy, Drama, Josei, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 8.14
18, Finished Airing, OB-Planning, Funimation, Manga, Action, Cars, Sports, 27-min.-per-ep., PG-13---Teens-13-or-older, 24, 8.24
19, Finished Airing, VAP, Madhouse-Inc., Manga, Drama, Horror, Mystery, 24-min.-per-ep., R+---Mild-Nudity, 74, 8.69
20, Finished Airing, TV-Tokyo, Aniplex, Manga, Action, Adventure, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 220, 7.88
21, Currently Airing, Fuji-TV, Toei-Animation, Manga, Action, Adventure, Comedy, 24-min., PG-13---Teens-13-or-older, ?, 8.54
22, Finished Airing, Production-I.G, Production-I.G, Manga, Action, Comedy, Sports, 22-min.-per-ep., PG-13---Teens-13-or-older, 178, 8.01
24, Finished Airing, TV-Tokyo, Funimation, Manga, Comedy, Romance, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 8.02
25, Finished Airing, GDH, Gonzo, Manga, Action, Adventure, Comedy, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.52
26, Finished Airing, Group-TAC, Madhouse-Inc., Original, Action, Sci-Fi, Psychological, 23-min.-per-ep., R+---Mild-Nudity, 22, 7.78
29, Finished Airing, Marvelous, Studio-Deen, Manga, Action, Military, Sci-Fi, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.54
30, Finished Airing, TV-Tokyo, Tatsunoko-Production, Original, Action, Sci-Fi, Dementia, 24-min.-per-ep., PG-13---Teens-13-or-older, 26, 8.32
31, Finished Airing, Movic, Production-I.G, Original, Drama, Mecha, Psychological, 1-hr.-41-min., R---17+-(violence-&amp;-profanity), 1, 7.50
32, Finished Airing, TV-Tokyo, Production-I.G, Original, Sci-Fi, Dementia, Psychological, 1-hr.-27-min., R+---Mild-Nudity, 1, 8.48
