"1;1;1;1;1;1;1;1;1;0.01;10"
"1;2;2;1;1;2;2;2;1;0.00;9"
"1;3;3;2;1;3;3;1;2;0.01;9"
"1;1;1;1;1;4;4;3;2;0.01;8"
"1;4;4;2;1;5;1;4;2;0.08;9"
"1;5;5;2;2;6;5;4;2;0.01;9"
"1;6;6;2;1;7;6;5;2;0.01;9"
"1;7;3;2;3;8;7;1;3;0.04;10"
"1;4;7;2;1;1;1;4;2;0.12;8"
"1;9;9;2;1;9;6;7;2;0.10;9"
"1;4;6;2;2;10;8;4;2;0.01;9"
"1;10;10;2;1;1;1;1;1;0.01;8"
"1;11;3;1;1;3;9;4;3;0.01;8"
"1;12;11;2;1;11;10;1;2;0.01;8"
"1;4;12;1;1;3;11;1;2;0.01;9"
"1;13;9;1;3;12;9;8;1;0.00;8"
"1;4;9;1;4;13;9;9;3;0.00;9"
"1;7;13;2;1;1;12;3;3;0.01;9"
"1;1;9;2;1;3;4;10;3;0.00;9"
"1;14;7;2;1;14;2;11;1;0.00;10"
"1;14;7;2;1;1;1;3;2;0.05;9"
"1;8;4;2;5;14;2;12;1;0.00;8"
"1;15;6;2;1;11;10;13;3;0.00;9"
"1;1;6;1;6;3;3;1;2;0.01;7"
"1;1;14;2;2;4;13;11;2;0.00;8"
"1;1;14;2;2;15;14;1;2;0.01;8"
"1;1;14;2;1;6;13;11;3;0.00;6"
"1;16;2;2;4;9;6;1;2;0.01;8"
"1;13;5;2;2;6;15;4;2;0.01;7"
"1;15;4;2;1;11;10;14;1;0.00;7"
"1;17;7;3;1;1;16;7;1;0.01;7"
"1;9;9;1;7;16;10;1;1;0.01;6"
"1;12;3;2;2;6;17;3;1;0.01;9"
"1;18;6;1;7;10;18;4;3;0.01;7"
"1;19;3;2;4;9;2;1;2;0.01;8"
"1;20;10;2;1;14;12;4;1;0.01;8"
"1;21;15;2;1;9;14;4;2;0.01;8"
"1;20;4;4;8;6;14;1;2;0.01;7"
"1;1;14;2;4;17;1;4;3;0.01;7"
"1;22;4;2;1;9;2;1;2;0.01;8"
"1;22;4;2;1;9;2;1;2;0.01;8"
"1;5;5;5;9;9;8;1;2;0.01;9"
"1;10;10;2;1;1;19;1;1;0.01;8"
"1;10;10;2;7;9;10;1;2;0.01;8"
"1;1;1;1;1;16;20;1;2;0.01;6"
"1;21;10;6;1;11;10;1;1;0.01;8"
"1;23;16;6;1;9;8;1;2;0.01;9"
"1;21;16;6;1;11;18;1;1;0.01;9"
"1;14;7;2;2;18;21;3;4;0.01;8"
"1;16;15;1;1;6;18;1;2;0.01;8"
"1;24;4;1;1;9;2;3;2;0.01;8"
"1;24;4;1;1;9;2;3;2;0.01;9"
"1;20;15;4;2;6;22;4;3;0.01;8"
